,LAT,LON,CALLE,BRAND,CAPACITY,Distrito
135,37.4041941,-6.0073507,Calle Leonardo Da Vinci,Sevici,20,2
136,37.3975341,-6.0105843,Calle Américo Vespucio,Sevici,40,3
137,37.409433,-6.0069599,Calle Américo Vespucio,Sevici,20,2
138,37.4122217,-6.0063862,Calle Américo Vespucio,Sevici,20,3
139,37.4158701,-6.0057752,Estadio Olímpico,Sevici,20,1
140,37.3827512,-5.9836676,Calle Juan de Mata Carriazo,Sevici,20,3
141,37.3874214,-5.9829997,Calle José María Moreno Galván,Sevici,20,3
142,37.3798544,-5.9746076,Avenida San Francisco Javier,Sevici,15,1
143,37.3774418,-5.9749724,Avenida San Francisco Javier,Sevici,15,2
144,37.3731405,-5.9740229,Calle José Saramago,Sevici,20,2
145,37.4134313,-5.9824322,Ronda Urbana Norte - Aprox. C/ Doctor Fedriani,Sevici,20,1
146,37.4146363,-5.9738343,Calle Victoria Kent,Sevici,15,1
147,37.3871686,-5.9486212,Avenida de Andalucía - Aprox. Cochera de TUSSAM,Sevici,20,1
148,37.3804815,-5.9535723,Glorieta del Primero de Mayo - Aprox. C/ Carlos Marx,Sevici,15,3
149,37.3996367,-5.9777243,Carretera de Carmona,Sevici,15,4
150,37.3932438,-5.9838491,Calle de Maria Auxiliadora,Sevici,15,2
151,37.390463,-5.9980113,Calle San Pablo,Sevici,20,1
152,37.3837457,-5.9148102,Estaca de Vares,Sevici,17,2
153,37.4215199,-5.9715297,Calle Corral del Agua,Sevici,20,4
154,37.4247213,-5.9699087,Calle Estrella Canopus,Sevici,20,4
155,37.4185712,-5.9732617,Calle Parque de Doñana,Sevici,20,2
156,37.3851694,-6.0036808,Plaza del Altozano,Sevici,14,1
157,37.3833998,-6.0082126,Plaza del Zurraque,Sevici,18,2
158,37.3869518,-6.0076608,Calle Procurador,Sevici,20,3
159,37.3688783,-5.9813853,Avenida Cardenal Bueno Monreal,Sevici,20,1
160,37.3860346,-5.9100839,Miguel Montoro,Sevici,30,2
161,37.3859534,-5.9137797,Pero Mingo,Sevici,30,2
162,37.3841827,-5.9798343,Avenida Eduardo Dato,Sevici,20,2
163,37.3842949,-5.9824304,Avenida Eduardo Dato,Sevici,20,2
164,37.3937233,-5.9818532,Calle Arroyo,Sevici,20,2
165,37.3647499,-5.9814522,Calle Tabladilla,Sevici,20,4
166,37.3961269,-5.9588167,Calle Tesalónica,Sevici,20,2
167,37.3938599,-5.9623474,Calle de la A.D.A,Sevici,15,3
168,37.3807308,-6.0092094,Plaza San Martín de Porres,Sevici,15,4
169,37.3730403,-5.9691616,Avenida Alcalde Juan Fernández,Sevici,17,2
170,37.3801273,-5.9971188,Plaza de Cuba,Sevici,20,1
171,37.3687499,-5.9572158,Avenida Hytasa,Sevici,15,1
172,37.3723655,-5.9632292,Avenida Hytasa,Sevici,20,4
173,37.3846992,-5.9725875,Calle Luis Morales,Sevici,30,3
174,37.382817,-5.9735307,Avenida Eduardo Dato,Sevici,15,4
175,37.3806956,-5.9869575,Ciudad de Ronda,Sevici,20,4
176,37.3813994,-5.9867247,Prado de San Sebastián,Sevici,40,3
177,37.3957014,-5.9737119,CALLE SAMANIEGO,Sevici,20,1
178,37.3636194,-5.9847852,Calle Paez de Rivera,Sevici,20,2
179,37.3740394,-6.0041982,Avenida Santa Fe,Sevici,20,1
180,37.3747704,-5.9985362,Calle Virgen de Luján,Sevici,24,3
181,37.3745382,-5.9947455,Calle Virgen de Luján,Sevici,17,1
182,37.3731194,-5.9976102,Calle Asunción,Sevici,20,4
183,37.3736779,-5.9854767,Avenida de la Borbolla,Sevici,20,4
184,37.3760219,-5.9790768,Calle Ramón Carande,Sevici,20,2
185,37.3750412,-5.9757977,Avenida Diego Martínez Barrio,Sevici,15,2
186,37.3723704,-5.9773621,Calle Felipe II,Sevici,16,1
187,37.371606,-5.9818494,Calle Felipe II,Sevici,20,2
188,37.3716758,-5.9975514,Calle Ramón de Carranza,Sevici,18,3
189,37.3715555,-6.0032632,Calle Ramón de Carranza,Sevici,18,4
190,37.369057,-5.9879693,Avenida de la Palmera,Sevici,20,2
191,37.3602332,-5.9863182,Avenida Reina Mercedes,Sevici,20,2
192,37.3601006,-5.986313,Avenida Reina Mercedes,Sevici,20,3
193,37.3986121,-5.973625,Calle Tharsis,Sevici,20,3
194,37.3978221,-5.9760843,Calle Arroyo,Sevici,20,4
195,37.3967485,-5.9786342,Calle San Juan Bosco,Sevici,20,3
196,37.4004879,-5.9983869,Calle San Vicente,Sevici,20,2
197,37.3987216,-5.9895023,Plaza Cronista,Sevici,15,3
198,37.3712795,-5.9891934,Avenida de la Palmera,Sevici,18,3
199,37.3912974,-5.9881754,Calle Alhóndiga,Sevici,14,4
200,37.3907943,-5.982764,Calle Amador de los Ríos,Sevici,20,2
201,37.3812308,-5.9935552,Calle Roma,Sevici,20,3
202,37.3854144,-6.0111606,Ronda de Triana,Sevici,20,4
203,37.3831234,-6.0108763,Ronda de Triana,Sevici,15,3
204,37.3815146,-5.9955663,Paseo de Cristóbal Colón,Sevici,20,2
205,37.3817511,-5.9933071,Avenida de Roma,Sevici,30,1
206,37.3589104,-5.9806202,Calle Francisco Murillo,Sevici,19,4
207,37.3801188,-6.0043502,Avenida Esperanza de Triana,Sevici,20,2
208,37.3777579,-6.0070758,Calle López de Gomara,Sevici,20,4
209,37.3614304,-5.9816032,Calle Manuel Siurot,Sevici,20,4
210,37.3773761,-5.9918804,Avenida de Chile,Sevici,20,1
211,37.3785777,-5.9784022,Calle Enramadilla,Sevici,20,4
212,37.3777629,-5.9773334,Calle Enramadilla,Sevici,20,4
213,37.3946087,-5.9799727,Calle Urquiza,Sevici,20,3
214,37.3629714,-5.9862622,Avenida Reina Mercedes,Sevici,27,3
215,37.3697994,-5.9781947,Avenida Cardenal Bueno Monreal,Sevici,20,2
216,37.4000005,-5.9691031,Avenida Alcalde Manuel del Valle,Sevici,20,1
217,37.3790204,-5.9688772,Plaza Antonio Aparicio Herrero,Sevici,18,3
218,37.3885079,-5.959401,Ronda del Tamarguillo,Sevici,13,1
219,37.376576,-5.9727121,Avenida Ramón y Cajal,Sevici,20,1
220,37.3670886,-5.971157,Ronda Tamarguillo,Sevici,19,4
221,37.3695198,-5.9686169,Ronda Tamarguillo,Sevici,20,2
222,37.377487,-5.9665541,Avenida de la Ciudad Jardin,Sevici,20,3
223,37.4110149,-5.971678,Alcalde Manuel del Valle,Sevici,15,1
224,37.4086593,-5.9731965,Calle Orfebre Dominguez Vázquez,Sevici,20,1
225,37.3700534,-5.9594961,Avenida Hytasa,Sevici,20,1
226,37.3741964,-6.0088305,Glorieta Carlos Cano,Sevici,20,2
227,37.3783344,-6.0115563,Avenida de Alvar Núñez,Sevici,19,2
228,37.3811114,-6.0120053,Avenida de Coria,Sevici,20,4
229,37.4189136,-5.9632171,Camino de los Toros,Sevici,20,1
230,37.4114666,-5.9667631,Avenida Mujer Trabajadora,Sevici,20,1
231,37.3976897,-5.9616014,Calle Doctor Laffon,Sevici,15,4
232,37.3871628,-5.9483902,Avenida de Andalucía - Aprox. Entrada TUSSAM,Sevici,20,2
233,37.3970135,-5.923757,Avenida de las Ciencias,Sevici,15,3
234,37.3973905,-5.918777,Calle Flor de Retama,Sevici,15,3
235,37.4028629,-5.9217537,Avenida Doctor Emilio Lemos,Sevici,15,3
236,37.4039396,-5.939739,Avenida Alcalde Luis Uruñuela,Sevici,15,4
237,37.4117358,-5.9298591,Ciudad de Chiva,Sevici,15,4
238,37.4102171,-5.9264224,Ciudad de Chiva,Sevici,15,1
239,37.4081326,-5.919993,Ciudad de Chiva,Sevici,15,1
240,37.3888532,-5.9962357,Plaza Nueva,Sevici,20,4
241,37.38889,-5.9962396,Plaza Nueva,Sevici,20,4
242,37.4247584,-5.9848237,Calle Navarra,Sevici,15,1
243,37.3843494,-5.9653784,Avda. Cruz Campo,Sevici,15,4
244,37.3837695,-5.9089219,Torres Albarracin,Sevici,20,3
245,37.3673184,-5.9541171,Ocho de Marzo,Sevici,30,3
246,37.378801,-5.9456668,Revoltosa,Sevici,20,2
247,37.3902925,-5.9799642,Calle Juan Antonio Cabestany,Sevici,15,1
248,37.3757344,-5.9991689,) Calle Virgen de Loreto,Sevici,18,2
